Food_items,Breakfast,Lunch,Dinner,Veg/NonVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,BMI_Range
Aam Panna,0,1,0,1,90,0.2,1.4,0.4,11,12,20,22.0,1.1,0.0,20.0,Healthy
Aam Papad,0,0,1,1,120,0.5,2.1,0.6,25,10,15,28.0,2.5,0.0,15.0,Healthy
Aamras,1,0,0,1,150,0.8,1.9,0.5,20,10,30,32.0,1.8,0.0,30.0,Healthy
Achari Aloo,1,1,0,1,180,1.2,2.5,0.7,30,15,25,35.0,2.0,0.0,25.0,Healthy
Achari Baingan,1,1,0,1,160,1.0,2.2,0.6,28,14,22,30.0,1.9,0.0,22.0,Healthy
Achari Chicken,0,0,1,0,250,5.0,20.0,2.0,40,30,45,20.0,0.0,0.0,10.0,Healthy
Achari Paneer,0,1,0,1,220,4.5,18.0,1.8,35,25,40,18.0,0.0,0.0,15.0,Healthy
Ada Pradhaman,0,0,1,1,280,6.0,15.0,1.5,22,18,35,30.0,0.0,0.0,20.0,Healthy
Adai,1,0,0,1,200,2.5,10.0,1.0,15,10,25,28.0,1.5,0.0,10.0,Healthy
Adrak Ki Sabzi,1,1,0,1,190,2.2,9.8,1.2,18,8,20,26.0,1.2,0.0,8.0,Healthy
Akki Roti,1,0,0,1,170,2.0,8.5,1.0,20,12,22,24.0,1.0,0.0,12.0,Healthy
Almond Milk,1,0,0,1,80,6.0,1.0,0.3,40,50,10,10.0,0.5,0.0,5.0,Healthy
Amaranth Ladoo,1,0,0,1,120,3.5,2.0,0.5,15,10,25,15.0,1.0,0.0,10.0,Healthy
Amaranth Porridge,1,0,0,1,100,3.0,2.0,0.4,10,8,20,18.0,0.8,0.0,8.0,Healthy
Amboli,1,0,0,1,150,2.5,1.8,0.3,15,12,18,20.0,0.9,0.0,12.0,Healthy
Ambur Biryani,0,0,1,0,350,7.0,25.0,2.5,45,40,55,30.0,0.0,0.0,25.0,Healthy
Amchoor Chutney,0,0,1,1,40,0.5,0.5,0.1,5,3,8,6.0,0.3,0.0,3.0,Healthy
Andhra Chicken Curry,0,0,1,0,280,6.0,22.0,2.2,35,25,40,22.0,0.0,0.0,20.0,Healthy
Andhra Fish Curry,0,0,1,0,250,5.0,20.0,2.0,40,30,45,20.0,0.0,0.0,20.0,Healthy
Andhra Gongura Pickle,0,1,0,1,60,1.0,0.5,0.1,8,6,10,8.0,0.0,0.0,5.0,Healthy
Andhra Pesarattu,1,0,0,1,200,3.5,10.0,1.5,18,10,25,30.0,1.2,0.0,10.0,Healthy
Andhra Pulihora,1,1,0,1,180,2.5,9.0,1.2,25,15,28,26.0,1.0,0.0,15.0,Healthy
Andhra Tomato Chutney,0,0,1,1,50,0.8,0.5,0.2,6,4,8,7.0,0.4,0.0,4.0,Healthy
